NIA,Nombre,Apellido1,Apellido2,Grupo,Teléfono alumno,Teléfono Madre,Teléfono Padre,Correo alumno,Correo Madre,Correo Padre
10396109,Nombre168,Apellido1-168,Apellido2-168,2CFMA,620541760,667922820,,Nombre168@gmail.com,Apellido2-168@yahoo.es,Apellido1-168@hotmail.com
10796779,Nombre169,Apellido1-169,Apellido2-169,1CFMI,688901316,659651001,628308216,Nombre169@gmail.com,Apellido2-169@yahoo.es,Apellido1-169@hotmail.com
10514628,Nombre170,Apellido1-170,Apellido2-170,2CFB,666137294,,695485303,Nombre170@gmail.com,Apellido2-170@yahoo.es,Apellido1-170@hotmail.com
10796805,Nombre171,Apellido1-171,Apellido2-171,2CFB,635606056,625646697,605858486,Nombre171@gmail.com,Apellido2-171@yahoo.es,Apellido1-171@hotmail.com
10232014,Nombre172,Apellido1-172,Apellido2-172,2CFSA,656782900,678749877,,Nombre172@gmail.com,Apellido2-172@yahoo.es,Apellido1-172@hotmail.com
10514629,Nombre173,Apellido1-173,Apellido2-173,2CFMA,640641342,680984159,667760085,Nombre173@gmail.com,Apellido2-173@yahoo.es,Apellido1-173@hotmail.com
10312315,Nombre174,Apellido1-174,Apellido2-174,2CFMISP,722353961,670307721,961383142,Nombre174@gmail.com,Apellido2-174@yahoo.es,Apellido1-174@hotmail.com
10267952,Nombre175,Apellido1-175,Apellido2-175,1CFSA,662564937,617972204,687103985,Nombre175@gmail.com,Apellido2-175@yahoo.es,Apellido1-175@hotmail.com
10292797,Nombre176,Apellido1-176,Apellido2-176,2CFMASP,626568685,661444257,607326520,Nombre176@gmail.com,Apellido2-176@yahoo.es,Apellido1-176@hotmail.com
11884442,Nombre177,Apellido1-177,Apellido2-177,1CFMA,654607228,657947082,,Nombre177@gmail.com,Apellido2-177@yahoo.es,Apellido1-177@hotmail.com
10258958,Nombre178,Apellido1-178,Apellido2-178,2CFSA,646005957,654523154,,Nombre178@gmail.com,Apellido2-178@yahoo.es,Apellido1-178@hotmail.com
10405713,Nombre179,Apellido1-179,Apellido2-179,2CFMI,639453185,669424560,696192285,Nombre179@gmail.com,Apellido2-179@yahoo.es,Apellido1-179@hotmail.com
10268220,Nombre180,Apellido1-180,Apellido2-180,2CFMISP,645241248,625615211,961525388,Nombre180@gmail.com,Apellido2-180@yahoo.es,Apellido1-180@hotmail.com
10243621,Nombre181,Apellido1-181,Apellido2-181,2CFMISP,674951596,661230003,,Nombre181@gmail.com,Apellido2-181@yahoo.es,Apellido1-181@hotmail.com
10233747,Nombre182,Apellido1-182,Apellido2-182,2CFSA,644135767,696006536,,Nombre182@gmail.com,Apellido2-182@yahoo.es,Apellido1-182@hotmail.com
10232969,Nombre183,Apellido1-183,Apellido2-183,2CFSA,653609292,625631304,,Nombre183@gmail.com,Apellido2-183@yahoo.es,Apellido1-183@hotmail.com
10338403,Nombre184,Apellido1-184,Apellido2-184,2CFSA,610774203,687498950,,Nombre184@gmail.com,Apellido2-184@yahoo.es,Apellido1-184@hotmail.com
10405722,Nombre185,Apellido1-185,Apellido2-185,1CFSA,611499662,646036621,,Nombre185@gmail.com,Apellido2-185@yahoo.es,Apellido1-185@hotmail.com
10268228,Nombre186,Apellido1-186,Apellido2-186,2CFSA,650337366,658790982,,Nombre186@gmail.com,Apellido2-186@yahoo.es,Apellido1-186@hotmail.com
